dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
ETTm1,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_dlinear_s1.npz,0.2470715479075588,0.3268254247306576,0.2623566254997905,0.3376587980789954,0.238816420350749,0.3187637994463093,0.251542438732508,5.826068834020703,3.208378816121749,-3.456683399192384,-2.529027856472821,1.7773902676134543
ETTm1,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_dlinear_s2.npz,0.2454618768339359,0.3251938778036383,0.2612797880610634,0.3365830644421779,0.2389989309213963,0.318824275717462,0.25075099504076,6.054012575756795,3.3837669929754237,-2.7041735658078103,-1.9978409962172703,2.109310954464705
ETTm1,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_patchtst_s0.npz,0.2797742870956254,0.348859137339179,0.3149530581001868,0.3625275199409549,0.2342029963629808,0.3176506276040683,0.2849517998209573,11.169528315350108,3.7703020736197024,-19.458030614610777,-9.824790830890516,1.8169784253284529
ETTm1,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_patchtst_s1.npz,0.2735174361188676,0.3463188895938298,0.331967150111512,0.3747531882814636,0.241814017544385,0.322090878267021,0.2809355603355875,17.607077680129034,7.587473456337291,-13.110662027135556,-7.522104151836051,2.6405073846325178
ETTm1,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTm1_patchtst_s2.npz,0.271023119852527,0.3395643945429407,0.3215011110080603,0.3614150700545652,0.2364553421897889,0.3177344562654804,0.2734228181870526,15.700720596971053,6.04586729278489,-14.619156980176218,-6.870497626867533,0.877651086488318
ETTm2,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_dlinear_s0.npz,0.0890409509644331,0.1973743758321745,0.097113619184869,0.208330245521075,0.0858606790470754,0.1913043022531826,0.0936532191148666,8.31260155701592,5.258895395384256,-3.703991108216109,-3.172993763077248,4.924836747764683
ETTm2,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_dlinear_s1.npz,0.0898213047179541,0.1984785017541972,0.096637098592759,0.2062022960647236,0.085969640320289,0.1912215578688467,0.0940530619287076,7.052978591097315,3.7457363268651567,-4.480261151861642,-3.795044850710738,4.4993295528870325
ETTm2,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_dlinear_s2.npz,0.088758866235446,0.1969599737408184,0.0959383208140484,0.2057721404966215,0.0857761835263199,0.1910157218797255,0.0931588369672014,7.483406544625581,4.282487772414378,-3.4772854031339677,-3.111917596414271,4.723084653047516
ETTm2,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_patchtst_s0.npz,0.093085032923777,0.2016604208158659,0.1215281886361415,0.2340904681503668,0.0857892545081631,0.1913318333010504,0.0967504665101408,23.404574717659987,13.853638548695448,-8.504303315655527,-5.398258792912958,3.7885435787326505
ETTm2,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_patchtst_s1.npz,0.0945828622305326,0.2039550493599656,0.1086063531218816,0.2189022877298879,0.0856830524700279,0.19120702395142,0.0983870580245747,12.91221967062215,6.828269601442583,-10.386896246043342,-6.667132380965479,3.866561182357808
