dataset,backbone,phase,seed,candidate,mse,mae,static_mse,static_mae,state_bytes,mse_reduction_pct,mae_reduction_pct
bdg2_panther,patchtst,refit,0,half32,0.0665099131278637,0.1634409038940408,0.0810435353678489,0.1890732648971034,8176,17.93310493430288,13.556840527936153
bdg2_panther,patchtst,refit,1,half32,0.0662052613937565,0.1615193251471581,0.072169150618005,0.1696844123948981,8176,8.26376529746854,4.811925345704582
bdg2_panther,patchtst,refit,2,half32,0.0673765792960147,0.1647609935636998,0.076768485190991,0.1830177645667254,8176,12.234064371089692,9.975409243057086
ETTh1,dlinear,legacy,0,half512,0.3585532622891488,0.387077988177412,0.3955730955366408,0.4036559040895817,4528,9.358531625430766,4.106942508263323
ETTh1,dlinear,legacy,1,half512,0.3586172753580294,0.3877050787897089,0.3987785825318127,0.4061631936103852,4528,10.071079273817174,4.544507013696175
ETTh1,dlinear,legacy,2,half512,0.36008204495664,0.3880954057779913,0.394104759071673,0.4017776976604459,4528,8.632911258208276,3.4054383710511282
ETTh1,dlinear,refit,0,half512,0.3597030090031283,0.3884873082360745,0.3998238508098546,0.4078866380694986,4528,10.034629431300912,4.756059165173898
ETTh1,dlinear,refit,1,half512,0.3619949218752519,0.3894073772687918,0.3996132241273529,0.4060846825409959,4528,9.413678021854555,4.106854060056897
ETTh1,dlinear,refit,2,half512,0.3571326494643608,0.3855514498173717,0.3893195080572351,0.3986060351106982,4528,8.267466162559312,3.275059618628462
ETTh1,patchtst,legacy,0,half512,0.3782440618505711,0.4088551586752951,0.4293842736337855,0.4367887081843084,4528,11.910126877825766,6.395208709751355
ETTh1,patchtst,legacy,1,half512,0.3865897099880793,0.4152231505409999,0.4555890611533522,0.4470102138935314,4528,15.145085132333236,7.111037368846906
ETTh1,patchtst,legacy,2,half512,0.3920666991018037,0.4158894874875724,0.4620188900151997,0.4532386548664535,4528,15.140547805544202,8.240507948265364
ETTh1,patchtst,refit,0,half512,0.3701633271062448,0.4038822786655058,0.4210708479325173,0.4299823023893913,4528,12.090013135849098,6.070022784391094
ETTh1,patchtst,refit,1,half512,0.37895704841069,0.4093867002134702,0.4327461583775899,0.4335945723455897,4528,12.429714031098705,5.5830662273200655
ETTh1,patchtst,refit,2,half512,0.3747682309902718,0.4094031674844635,0.4260292238720581,0.439314704035011,4528,12.032271499098057,6.808680946896716
ETTh2,dlinear,legacy,0,half512,0.1334188048965533,0.2424178568262701,0.1415501291321895,0.2531849842068671,4528,5.744483799122923,4.252672177351402
ETTh2,dlinear,legacy,1,half512,0.1325598572135187,0.2408959866852651,0.1369262160584143,0.2464291188304605,4528,3.188840654906322,2.2453239988258544
ETTh2,dlinear,legacy,2,half512,0.1344974524058522,0.2432025109118932,0.1444659210958572,0.2566657938040531,4528,6.900221598553092,5.245452731593126
ETTh2,dlinear,refit,0,half512,0.1364459526615968,0.2450924250003694,0.1574857800899883,0.2735780288993589,4528,13.359826783325591,10.412241075641527
ETTh2,dlinear,refit,1,half512,0.1327656858982992,0.2413450229905309,0.1410646462955558,0.2533221605139912,4528,5.883090210901443,4.728025964707816
ETTh2,dlinear,refit,2,half512,0.1342504326821397,0.2432605350017208,0.1505263982113731,0.2632415475578891,4528,10.812698451987302,7.5903719384472605
ETTh2,patchtst,legacy,0,half512,0.1449071277474879,0.2580498142892689,0.1845296180249207,0.291208328769855,4528,21.472157533042633,11.386526827943722
ETTh2,patchtst,legacy,1,half512,0.1481851232138639,0.2638304276721179,0.1848113271942272,0.3006248746049981,4528,19.818159707208327,12.239322172267265
ETTh2,patchtst,legacy,2,half512,0.1456542697516893,0.2616795043018117,0.233567280715134,0.3575223553124811,4528,37.6392663793805,26.807512757321426
ETTh2,patchtst,refit,0,half512,0.1404227569893693,0.2522160712716522,0.153924329869011,0.2659269570677061,4528,8.771565152261173,5.155884137223088
