dataset,backbone,seed,arm,mse,mae
ETTm2,dlinear,1,sf_joint_adapter_global,0.09980677621709974,0.21019693265452008
ETTm2,dlinear,2,mae_base,0.1007199335020173,0.21003661089829578
ETTm2,dlinear,2,mae_joint_boundary,0.09321848096952816,0.20315589854637467
ETTm2,dlinear,2,mae_joint_adapter,0.10097544390222654,0.20961414782801704
ETTm2,dlinear,2,mae_joint_adapter_global,0.09891324395083818,0.2080381090562672
ETTm2,dlinear,2,sf_base,0.1010048506353358,0.21105272695923374
ETTm2,dlinear,2,sf_joint_boundary,0.09724029676819552,0.21072807991463588
ETTm2,dlinear,2,sf_joint_adapter,0.10232419620843083,0.21281837109893673
ETTm2,dlinear,2,sf_joint_adapter_global,0.10047899226787943,0.21182049777090198
ETTm2,patchtst,0,mae_base,0.12053957503040073,0.2342364637083802
ETTm2,patchtst,0,mae_joint_boundary,0.0981534143402717,0.2105077266986596
ETTm2,patchtst,0,mae_joint_adapter,0.1119097600400959,0.22303138034249972
ETTm2,patchtst,0,mae_joint_adapter_global,0.11039846246630898,0.22116295044528012
ETTm2,patchtst,0,sf_base,0.146087412788193,0.26122088909884744
ETTm2,patchtst,0,sf_joint_boundary,0.09766984777130036,0.20981507088153156
ETTm2,patchtst,0,sf_joint_adapter,0.11101869736523176,0.22264341666454296
ETTm2,patchtst,0,sf_joint_adapter_global,0.11042481184831074,0.2221789963089005
ETTm2,patchtst,1,mae_base,0.1472194617792911,0.26385512881809514
ETTm2,patchtst,1,mae_joint_boundary,0.09937054762202004,0.2131503157554325
ETTm2,patchtst,1,mae_joint_adapter,0.11544378417919199,0.2274895503461703
ETTm2,patchtst,1,mae_joint_adapter_global,0.11550756057277882,0.2276274176388521
ETTm2,patchtst,1,sf_base,0.12925116383084376,0.2410056223382835
ETTm2,patchtst,1,sf_joint_boundary,0.09984953492831651,0.2140480603203467
ETTm2,patchtst,1,sf_joint_adapter,0.11596030151444782,0.22879719666179588
ETTm2,patchtst,1,sf_joint_adapter_global,0.1146420805128815,0.2275069959776524
ETTm2,patchtst,2,mae_base,0.1182415476991986,0.23241261940454902
ETTm2,patchtst,2,mae_joint_boundary,0.09824237609478079,0.21219140547243778
ETTm2,patchtst,2,mae_joint_adapter,0.1123378357174099,0.226765594281737
ETTm2,patchtst,2,mae_joint_adapter_global,0.11264225014238932,0.22707058979224912
ETTm2,patchtst,2,sf_base,0.12198491964097223,0.2393712780143368
ETTm2,patchtst,2,sf_joint_boundary,0.10181068070617134,0.2154802206722612
ETTm2,patchtst,2,sf_joint_adapter,0.11757580197716272,0.23041840853417533
ETTm2,patchtst,2,sf_joint_adapter_global,0.11708353875693339,0.2299351013217237
appliances,dlinear,0,mae_base,0.2458203339555937,0.290957773384176
appliances,dlinear,0,mae_joint_boundary,0.19374725044601424,0.2627504261541792
appliances,dlinear,0,mae_joint_adapter,0.24300231751258594,0.2841706959125741
appliances,dlinear,0,mae_joint_adapter_global,0.24282948776024332,0.287532827549959
appliances,dlinear,0,sf_base,0.24729384792649436,0.2936780683491512
appliances,dlinear,0,sf_joint_boundary,0.19090666646444113,0.2600608083402072
appliances,dlinear,0,sf_joint_adapter,0.23926638108966078,0.2772161146444168
appliances,dlinear,0,sf_joint_adapter_global,0.23911597274354845,0.2805660175430888
appliances,dlinear,1,mae_base,0.23389559998023743,0.2781940223035505
appliances,dlinear,1,mae_joint_boundary,0.18875435300329196,0.2565920757274668
appliances,dlinear,1,mae_joint_adapter,0.23678343034371563,0.27281233782291564
appliances,dlinear,1,mae_joint_adapter_global,0.23579202312884168,0.2771040822421541
appliances,dlinear,1,sf_base,0.23440491430244517,0.2793987277928308
appliances,dlinear,1,sf_joint_boundary,0.18589962516583133,0.2538960166666693
appliances,dlinear,1,sf_joint_adapter,0.2360244497252443,0.27203714556216796
appliances,dlinear,1,sf_joint_adapter_global,0.23491841379093445,0.2762193986616525
appliances,dlinear,2,mae_base,0.23717812635374322,0.28344457540549745
appliances,dlinear,2,mae_joint_boundary,0.19096944128674814,0.25775174152010594
appliances,dlinear,2,mae_joint_adapter,0.23560909105047517,0.2723435954954004
appliances,dlinear,2,mae_joint_adapter_global,0.23494607826383446,0.27593209738112523
appliances,dlinear,2,sf_base,0.23823529615131636,0.2853101053041315
appliances,dlinear,2,sf_joint_boundary,0.18959962310659273,0.25672188014679725
appliances,dlinear,2,sf_joint_adapter,0.23757703145293732,0.2742582315003623
appliances,dlinear,2,sf_joint_adapter_global,0.23689304130545527,0.27798318112384046
appliances,patchtst,0,mae_base,0.473328791443382,0.39568287405902164
appliances,patchtst,0,mae_joint_boundary,0.19067149627873314,0.25492857420987336
appliances,patchtst,0,mae_joint_adapter,0.3505207504278727,0.34778777340430833
appliances,patchtst,0,mae_joint_adapter_global,0.35062592301190537,0.3479543315571466
appliances,patchtst,0,sf_base,0.43484317945547785,0.3814182702196466
appliances,patchtst,0,sf_joint_boundary,0.18980354928330495,0.25420039781707615
appliances,patchtst,0,sf_joint_adapter,0.3517077008044097,0.3499148470236686
appliances,patchtst,0,sf_joint_adapter_global,0.3517798138046591,0.3500411052133483
appliances,patchtst,1,mae_base,0.5344079691358761,0.43443457732698754
appliances,patchtst,1,mae_joint_boundary,0.19085686511005742,0.2583964817182896
appliances,patchtst,1,mae_joint_adapter,0.3447828333367094,0.34576357465424723
appliances,patchtst,1,mae_joint_adapter_global,0.34492441595328127,0.345986602130477
