dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
ETTh2,patchtst,2,legacy,fac_global,0.1429742242200156,0.2586652803163832,0.2335672807151339,0.3575223553124813,38.78670686139829,27.650599613468973,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTh2,patchtst,2,legacy,proposed_global,0.1445888885830405,0.2603604991827051,0.2335672807151339,0.3575223553124813,38.09540097382661,27.176442168170134,4528,,,,,,Proposed,main
ETTh2,patchtst,2,legacy,static,0.2335672807151339,0.3575223553124813,0.2335672807151339,0.3575223553124813,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,0,legacy,cosa_global,0.2512630726772998,0.327531668201386,0.2635142382218694,0.3388971904247032,4.649147471968695,3.353678503228086,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,0,legacy,fac_global,0.2384798220026535,0.3192215687371497,0.2635142382218694,0.3388971904247032,9.500213873884787,5.805778933397532,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,0,legacy,proposed_global,0.2489995465406479,0.3283530003488131,0.2635142382218694,0.3388971904247032,5.5081242589254735,3.1113241342237696,4528,,,,,,Proposed,main
ETTm1,dlinear,0,legacy,static,0.2635142382218694,0.3388971904247032,0.2635142382218694,0.3388971904247032,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,1,legacy,cosa_global,0.2513484109029673,0.3273693536953317,0.2623566254997906,0.3376587980789954,4.195897311856589,3.047290472572395,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,1,legacy,fac_global,0.2378831156397775,0.3187374729458625,0.2623566254997906,0.3376587980789954,9.328336882436629,5.603681953729589,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,1,legacy,proposed_global,0.2470715479075588,0.3268254247306577,0.2623566254997906,0.3376587980789954,5.826068834020748,3.2083788161217157,4528,,,,,,Proposed,main
ETTm1,dlinear,1,legacy,static,0.2623566254997906,0.3376587980789954,0.2623566254997906,0.3376587980789954,0.0,0.0,0,,,,,,Static,main
ETTm1,dlinear,2,legacy,cosa_global,0.2498062622031389,0.3257931849562606,0.2612797880610634,0.3365830644421778,4.391279533357196,3.205710751905899,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,dlinear,2,legacy,fac_global,0.2369237499403687,0.3175731676796075,0.2612797880610634,0.3365830644421778,9.321822518855704,5.647906496447042,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,dlinear,2,legacy,proposed_global,0.2454618768339359,0.3251938778036382,0.2612797880610634,0.3365830644421778,6.054012575756806,3.3837669929754344,4528,,,,,,Proposed,main
ETTm1,dlinear,2,legacy,static,0.2612797880610634,0.3365830644421778,0.2612797880610634,0.3365830644421778,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,0,legacy,cosa_global,0.2698892161944102,0.3402809079797365,0.3149530581001868,0.3625275199409549,14.308113779749942,6.136530535624363,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,0,legacy,fac_global,0.274370364256737,0.3419632142493851,0.3149530581001868,0.3625275199409549,12.88531506512328,5.672481276709451,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,0,legacy,proposed_global,0.2797742870956253,0.348859137339179,0.3149530581001868,0.3625275199409549,11.16952831535013,3.7703020736197135,4528,,,,,,Proposed,main
ETTm1,patchtst,0,legacy,static,0.3149530581001868,0.3625275199409549,0.3149530581001868,0.3625275199409549,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,1,legacy,cosa_global,0.2653619046973686,0.3395852627643404,0.3319671501115122,0.3747531882814636,20.06380613014569,9.384289878465236,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,1,legacy,fac_global,0.2580232016211155,0.3347295310498507,0.3319671501115122,0.3747531882814636,22.274477599834164,10.680004462444382,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,1,legacy,proposed_global,0.2735174361188676,0.3463188895938296,0.3319671501115122,0.3747531882814636,17.60707768012906,7.587473456337335,4528,,,,,,Proposed,main
ETTm1,patchtst,1,legacy,static,0.3319671501115122,0.3747531882814636,0.3319671501115122,0.3747531882814636,0.0,0.0,0,,,,,,Static,main
ETTm1,patchtst,2,legacy,cosa_global,0.2695962832273907,0.33581207697303,0.3215011110080603,0.3614150700545652,16.144525167556335,7.084096708438247,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm1,patchtst,2,legacy,fac_global,0.2573693819588819,0.3310596221297788,0.3215011110080603,0.3614150700545652,19.947591735560287,8.399054284095975,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm1,patchtst,2,legacy,proposed_global,0.271023119852527,0.3395643945429406,0.3215011110080603,0.3614150700545652,15.700720596971063,6.0458672927849015,4528,,,,,,Proposed,main
ETTm1,patchtst,2,legacy,static,0.3215011110080603,0.3614150700545652,0.3215011110080603,0.3614150700545652,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,0,legacy,cosa_global,0.0957273613752116,0.2049323814340582,0.097113619184869,0.208330245521075,1.427459733550318,1.6309989356168897,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,0,legacy,fac_global,0.0917687517305801,0.2007559707909359,0.097113619184869,0.208330245521075,5.503725944055493,3.635705757075447,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,0,legacy,proposed_global,0.0890409509644331,0.1973743758321745,0.097113619184869,0.208330245521075,8.31260155701592,5.2588953953842665,4528,,,,,,Proposed,main
ETTm2,dlinear,0,legacy,static,0.097113619184869,0.208330245521075,0.097113619184869,0.208330245521075,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,1,legacy,cosa_global,0.0952542680170732,0.2036478684940703,0.096637098592759,0.2062022960647236,1.4309520834365983,1.2387968608513875,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,1,legacy,fac_global,0.0916840235053977,0.200187419847616,0.096637098592759,0.2062022960647236,5.1254385318771245,2.9169782935974498,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,1,legacy,proposed_global,0.0898213047179541,0.1984785017541972,0.096637098592759,0.2062022960647236,7.052978591097315,3.7457363268651234,4528,,,,,,Proposed,main
ETTm2,dlinear,1,legacy,static,0.096637098592759,0.2062022960647236,0.096637098592759,0.2062022960647236,0.0,0.0,0,,,,,,Static,main
ETTm2,dlinear,2,legacy,cosa_global,0.0947791303477816,0.2031278726187366,0.0959383208140483,0.2057721404966215,1.2082663699248042,1.2850465915857925,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,dlinear,2,legacy,fac_global,0.090888365380564,0.199303693392805,0.0959383208140483,0.2057721404966215,5.263752159340374,3.1434999355137605,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,dlinear,2,legacy,proposed_global,0.088758866235446,0.1969599737408184,0.0959383208140483,0.2057721404966215,7.483406544625559,4.28248777241439,4528,,,,,,Proposed,main
ETTm2,dlinear,2,legacy,static,0.0959383208140483,0.2057721404966215,0.0959383208140483,0.2057721404966215,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,0,legacy,cosa_global,0.0993113020154081,0.2072272476407071,0.1215281886361415,0.2340904681503668,18.281262043040325,11.475572124707046,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,0,legacy,fac_global,0.0940569950560998,0.2009453165231993,0.1215281886361415,0.2340904681503668,22.604791438380712,14.1591205695214,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,0,legacy,proposed_global,0.093085032923777,0.2016604208158659,0.1215281886361415,0.2340904681503668,23.404574717659955,13.853638548695455,4528,,,,,,Proposed,main
ETTm2,patchtst,0,legacy,static,0.1215281886361415,0.2340904681503668,0.1215281886361415,0.2340904681503668,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,1,legacy,cosa_global,0.1009933305103054,0.2103507834909022,0.1086063531218815,0.2189022877298879,7.009739663233628,3.906539455420266,71356,0.001,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,1,legacy,fac_global,0.0941902513984356,0.2014545196649721,0.1086063531218815,0.2189022877298879,13.273718626080475,7.970573649940693,21408,0.005,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,1,legacy,proposed_global,0.0945828622305326,0.2039550493599656,0.1086063531218815,0.2189022877298879,12.912219670622138,6.828269601442571,4528,,,,,,Proposed,main
ETTm2,patchtst,1,legacy,static,0.1086063531218815,0.2189022877298879,0.1086063531218815,0.2189022877298879,0.0,0.0,0,,,,,,Static,main
ETTm2,patchtst,2,legacy,cosa_global,0.1014788845521508,0.2146897548767137,0.1181136857595896,0.2356635782040746,14.083720358449792,8.899900225226343,71356,0.005,23548.0,47156.0,80.0,44.0,COSA,main
ETTm2,patchtst,2,legacy,fac_global,0.096094006939975,0.2057319740242547,0.1181136857595896,0.2356635782040746,18.642783584311985,12.700988590566345,21408,0.01,6952.0,13928.0,0.0,0.0,FAC,main
ETTm2,patchtst,2,legacy,proposed_global,0.0950628131140407,0.2069605822163414,0.1181136857595896,0.2356635782040746,19.51583552516257,12.179648720634152,4528,,,,,,Proposed,main
ETTm2,patchtst,2,legacy,static,0.1181136857595896,0.2356635782040746,0.1181136857595896,0.2356635782040746,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,0,legacy,cosa_global,0.2188340665335418,0.2808102508690516,0.2325691323577364,0.2880679854013931,5.905799142367463,2.519451969724651,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,dlinear,0,legacy,fac_global,0.1862438746355756,0.2566594617658656,0.2325691323577364,0.2880679854013931,19.91891927038002,10.903163568059435,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,0,legacy,proposed_global,0.184437776620477,0.2491724253073202,0.2325691323577364,0.2880679854013931,20.69550470834799,13.502215471766476,13192,,,,,,Proposed,main
appliances,dlinear,0,legacy,static,0.2325691323577364,0.2880679854013931,0.2325691323577364,0.2880679854013931,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,1,legacy,cosa_global,0.2179973107459886,0.2815010028971214,0.2338600692508775,0.2927677249626007,6.783012831434632,3.848348402105661,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
