dataset,backbone,kind,seed,rank,arm,mse,mae,state_bytes
ETTh2,dlinear,sf,2,4,boundary,0.15394924464879398,0.2637125755729501,4528
ETTh2,dlinear,sf,2,4,adapter,0.1689801771598867,0.2787880779329736,1440
ETTh2,dlinear,sf,2,4,adapter_global,0.16932331517736204,0.27937506617650326,1968
ETTh2,patchtst,mae,0,2,base,0.29304375109436787,0.37056034706285945,0
ETTh2,patchtst,mae,0,2,boundary,0.1584015511665197,0.2703415854783006,4528
ETTh2,patchtst,mae,0,2,adapter,0.27013593811518855,0.35553672882577525,1056
ETTh2,patchtst,mae,0,2,adapter_global,0.2701692509077275,0.355582724765207,1584
ETTh2,patchtst,mae,0,4,base,0.2896422802317147,0.3707410558959678,0
ETTh2,patchtst,mae,0,4,boundary,0.15744297979860203,0.26998358407262746,4528
ETTh2,patchtst,mae,0,4,adapter,0.26720000852369113,0.3557448325397069,1440
ETTh2,patchtst,mae,0,4,adapter_global,0.267225883038104,0.35578117402493076,1968
ETTh2,patchtst,sf,0,2,base,0.3000880101201055,0.37325749898701627,0
ETTh2,patchtst,sf,0,2,boundary,0.1565834066676104,0.26889993161359005,4528
ETTh2,patchtst,sf,0,2,adapter,0.27502198958225815,0.3573485370488259,1056
ETTh2,patchtst,sf,0,2,adapter_global,0.27505106481858527,0.357392946158435,1584
ETTh2,patchtst,sf,0,4,base,0.29215363314423604,0.3681012190044122,0
ETTh2,patchtst,sf,0,4,boundary,0.15605990048067642,0.268747520336354,4528
ETTh2,patchtst,sf,0,4,adapter,0.26935822989943964,0.35311396403441636,1440
ETTh2,patchtst,sf,0,4,adapter_global,0.2693674125412005,0.3531395013758818,1968
ETTh2,patchtst,mae,1,2,base,0.25476209227485375,0.34746702852219763,0
ETTh2,patchtst,mae,1,2,boundary,0.15496631090600452,0.26678558429225424,4528
ETTh2,patchtst,mae,1,2,adapter,0.2470658231755976,0.34187972369663716,1056
ETTh2,patchtst,mae,1,2,adapter_global,0.24707129145465428,0.3418899385900541,1584
ETTh2,patchtst,mae,1,4,base,0.24750082833416548,0.3419595228915712,0
ETTh2,patchtst,mae,1,4,boundary,0.1548145360259291,0.2667430191830479,4528
ETTh2,patchtst,mae,1,4,adapter,0.234342628574113,0.33167845700149995,1440
ETTh2,patchtst,mae,1,4,adapter_global,0.23435628683828996,0.3317039392093334,1968
ETTh2,patchtst,sf,1,2,base,0.29818351363064005,0.3688857565245647,0
ETTh2,patchtst,sf,1,2,boundary,0.15673559456872477,0.2711620697341396,4528
ETTh2,patchtst,sf,1,2,adapter,0.2766676855175636,0.3563573780154895,1056
ETTh2,patchtst,sf,1,2,adapter_global,0.2766742729368314,0.35636475403258605,1584
ETTh2,patchtst,sf,1,4,base,0.3039958902349218,0.3720862503014967,0
ETTh2,patchtst,sf,1,4,boundary,0.1558966912616238,0.27080243737816934,4528
ETTh2,patchtst,sf,1,4,adapter,0.26667665830935855,0.3499741473645871,1440
ETTh2,patchtst,sf,1,4,adapter_global,0.26669231848842484,0.3499938141329489,1968
ETTh2,patchtst,mae,2,2,base,0.25512563271157435,0.3521529725948186,0
ETTh2,patchtst,mae,2,2,boundary,0.1615246363681436,0.2743843855732107,4528
ETTh2,patchtst,mae,2,2,adapter,0.2457320130771231,0.34553305295054193,1056
ETTh2,patchtst,mae,2,2,adapter_global,0.24574815632687985,0.3455561803816962,1584
ETTh2,patchtst,mae,2,4,base,0.2533077046251555,0.3502425440996668,0
ETTh2,patchtst,mae,2,4,boundary,0.16045141679072442,0.272982077514197,4528
ETTh2,patchtst,mae,2,4,adapter,0.23888441668938218,0.34009334524714585,1440
ETTh2,patchtst,mae,2,4,adapter_global,0.23891119213555997,0.34013110736982394,1968
ETTh2,patchtst,sf,2,2,base,0.28540495279897526,0.36735065952354146,0
ETTh2,patchtst,sf,2,2,boundary,0.1589515537489054,0.2728841894253643,4528
ETTh2,patchtst,sf,2,2,adapter,0.2758400837042307,0.3615723269234293,1056
ETTh2,patchtst,sf,2,2,adapter_global,0.27584357160875744,0.36157841671801394,1584
ETTh2,patchtst,sf,2,4,base,0.28674096238743274,0.3682391466344409,0
ETTh2,patchtst,sf,2,4,boundary,0.15827206260392196,0.2720348200501858,4528
ETTh2,patchtst,sf,2,4,adapter,0.27063578582930503,0.3583322929031899,1440
ETTh2,patchtst,sf,2,4,adapter_global,0.2706503146659669,0.3583522557393479,1968
ETTm1,dlinear,mae,0,2,base,0.290247710127101,0.35996875895026337,0
ETTm1,dlinear,mae,0,2,boundary,0.26399114515613165,0.34205687652321387,4528
ETTm1,dlinear,mae,0,2,adapter,0.2912918339742769,0.35958365970089295,1056
ETTm1,dlinear,mae,0,2,adapter_global,0.28925450335686653,0.3590057979322641,1584
ETTm1,dlinear,mae,0,4,base,0.2909873915686239,0.3608124806941855,0
ETTm1,dlinear,mae,0,4,boundary,0.26349884757000824,0.34154993396080485,4528
ETTm1,dlinear,mae,0,4,adapter,0.28959560093083747,0.35768122613189657,1440
ETTm1,dlinear,mae,0,4,adapter_global,0.28840555065608403,0.35798880986170045,1968
ETTm1,dlinear,sf,0,2,base,0.29028071855112103,0.36009070269646326,0
ETTm1,dlinear,sf,0,2,boundary,0.26356992050937045,0.3417182337226685,4528
ETTm1,dlinear,sf,0,2,adapter,0.29106740046336677,0.35930416557864403,1056
ETTm1,dlinear,sf,0,2,adapter_global,0.2889244448149063,0.3587871376372812,1584
ETTm1,dlinear,sf,0,4,base,0.2914351375099694,0.36134349768880536,0
ETTm1,dlinear,sf,0,4,boundary,0.263054413730612,0.3413056195012359,4528
ETTm1,dlinear,sf,0,4,adapter,0.2885168248646007,0.3569188842430332,1440
ETTm1,dlinear,sf,0,4,adapter_global,0.2875525142207805,0.357375882603252,1968
ETTm1,dlinear,mae,1,2,base,0.28344768642043516,0.35521925410248073,0
ETTm1,dlinear,mae,1,2,boundary,0.2576581618313197,0.3366107643279471,4528
ETTm1,dlinear,mae,1,2,adapter,0.28299466284318775,0.35436788339841613,1056
ETTm1,dlinear,mae,1,2,adapter_global,0.28153919601353183,0.3537472303622371,1584
ETTm1,dlinear,mae,1,4,base,0.28350325433962625,0.3550861820188262,0
ETTm1,dlinear,mae,1,4,boundary,0.25739243727464034,0.33634421597012054,4528
ETTm1,dlinear,mae,1,4,adapter,0.282636466565996,0.3539618163998715,1440
ETTm1,dlinear,mae,1,4,adapter_global,0.28118985276768477,0.3533278923124103,1968
ETTm1,dlinear,sf,1,2,base,0.2833558612091219,0.35530456715651976,0
ETTm1,dlinear,sf,1,2,boundary,0.25681684620091444,0.33609125335289636,4528
ETTm1,dlinear,sf,1,2,adapter,0.2821897188327597,0.3538510197871373,1056
ETTm1,dlinear,sf,1,2,adapter_global,0.28075752080079897,0.35331465549827284,1584
ETTm1,dlinear,sf,1,4,base,0.2834323677079006,0.35476845288857833,0
ETTm1,dlinear,sf,1,4,boundary,0.25683546497081366,0.3360879555835434,4528
ETTm1,dlinear,sf,1,4,adapter,0.2808456112472075,0.3527584949347457,1440
ETTm1,dlinear,sf,1,4,adapter_global,0.27973794029932497,0.3522161024113535,1968
ETTm1,dlinear,mae,2,2,base,0.28947882358555677,0.35919929868271067,0
ETTm1,dlinear,mae,2,2,boundary,0.26243812102789377,0.34095235874352514,4528
ETTm1,dlinear,mae,2,2,adapter,0.2871430561121235,0.3569266384311888,1056
ETTm1,dlinear,mae,2,2,adapter_global,0.2870421344770367,0.35712754876957836,1584
ETTm1,dlinear,mae,2,4,base,0.2916996432312215,0.36084992821533296,0
ETTm1,dlinear,mae,2,4,boundary,0.2625679514677294,0.3410153213848973,4528
ETTm1,dlinear,mae,2,4,adapter,0.2872500687914521,0.3564015737451083,1440
ETTm1,dlinear,mae,2,4,adapter_global,0.28725403315927206,0.3568471530070938,1968
ETTm1,dlinear,sf,2,2,base,0.29006520841788325,0.3584803360222545,0
ETTm1,dlinear,sf,2,2,boundary,0.2618290203531055,0.3401113025288125,4528
ETTm1,dlinear,sf,2,2,adapter,0.2875155188533423,0.35613986204267467,1056
ETTm1,dlinear,sf,2,2,adapter_global,0.2872626260040571,0.3564026430853877,1584
ETTm1,dlinear,sf,2,4,base,0.2932816571611816,0.3608939464309428,0
ETTm1,dlinear,sf,2,4,boundary,0.262239869089875,0.3404677377151406,4528
ETTm1,dlinear,sf,2,4,adapter,0.2881162548629402,0.35579116789726944,1440
ETTm1,dlinear,sf,2,4,adapter_global,0.2880534704503615,0.35643673835093537,1968
ETTm1,patchtst,mae,0,2,base,0.342313224826334,0.38237168523474874,0
ETTm1,patchtst,mae,0,2,boundary,0.27773492697209295,0.3516984609995322,4528
ETTm1,patchtst,mae,0,2,adapter,0.3450002992233886,0.38459677103297174,1056
ETTm1,patchtst,mae,0,2,adapter_global,0.342537210212683,0.3825533782900311,1584
